listing,price,brand,size
"🆕️Gray faux Leather Crossbody Bag
          
      NWT",22.0,,Size: OS
Valentina‎ Adjustable Crossbody Bag Genuine Leather Made In Italy,40.0,Valentina,Size: OS
Gucci Beauty Canvas Makeup Bag Black  NWOT  Travel Cosmetics Pouch,65.0,Gucci,"Size: Approx 9""x6.5""x3"""
"Vera Bradley Cosmetic Makeup 💄 Bag Red, Pink and White",11.0,Vera Bradley,Size: OS
"Vintage Black Mesh Evening Bag/Clutch, Made in West Germany, Cocktail Purse",23.0,Unknown,"Size: Approx. 8""x4"""
Authentic Vintage Gucci Web Monogram Canvas Black Leather Velcro Clutch,390.0,Gucci,Size: Small
"NWT Tory Burch Attersee Chevron Satchel
          
      NWT",885.0,Tory Burch,"Size: 15 1/2""L x 11 1/2""H x 5""D"
"NWT Coach Nolita 19 In Signature Canvas With Orange Print
          
      NWT",119.0,Coach,Size: OS
Burberry Beige and Brown Check Wallet,190.0,Burberry,Size: OS
Vera Bradley Black and Blue Paisley Shoulder Bag,60.0,Vera Bradley,Size: OS
Guess Black Cloth Logo Buckle Front Wallet,12.0,Guess,Size: 7.5” x 3.5”
Samantha Brown To-Go Quilted Top Handle Crossbody Bag BURGUNDY nwot,34.0,SAMANTHA BROWN,Size: OS
Satin Black Handbag,100.0,,Size: OS
"black rectangular shoulder bag with top handle | NWT | faux black leather
          
      NWT",10.0,,Size: OS
Carhartt Tan and Gold Tote Bag,120.0,Carhartt,Size: OS
Women's Tory Burch Leather Handbag Brown/Red One Size,175.0,Tory Burch,Size: OS
L.A.M.B. Gwen Stefani Marigold Tote Designer Leather Pvc Luxury Celebrity #168,550.0,L.A.M.B.,Size: OS
Burberry Checkered Shoulder Bag,450.0,Burberry,Size: OS
Black quilted chain straps tote bag with pouch,35.0,,Size: OS
"Lot of 3!! Y2K Mini Corduroy Tote Bags in Green, Black, and Red",24.0,Letu,Size: OS
Everlane Petra Crossbody - Leather and Suede - Black,250.0,Everlane,Size: OS
Vintage Coach Kisslock Skinny Tote GLUE IN REGISTRATION 9546 MOCHA NEW YORK CITY,399.0,Coach,Size: OS
Upcycled for hope corduroy mini crossbody bag,20.0,upcycled for hope,Size: OS
Michael Kors purse,82.0,,Size: OS
Linea Pelle Leather Shoulder Bag Handbag Braided Leather Purse Drawstrin…,40.0,Linea Pelle,Size: 11x10x2.5
"Elegant Cream Tote Bag with Floral Scarf
          
      NWT",40.0,Victoria's Secret,Size: OS
Herschel Supply Company Limited Edition Brown and Cream Patterned Backpack,60.0,Herschel Supply Company,Size: OS
Kate Spade Ivory Wallet,55.0,kate spade,Size: OS
